Day of Date,Other,Top Five Billionaire Wealth
18-Mar-20,$2.59T,$357.8B
29-Apr-20,$2.92T,$435.8B
14-May-20,$2.89T,$426.0B
19-May-20,$2.93T,$448.0B
28-May-20,$2.99T,$447.7B
4-Jun-20,$3.05T,$457.7B
11-Jun-20,$3.11T,$475.6B
18-Jun-20,$3.06T,$466.8B
23-Jul-20,$3.17T,$530.8B
6-Aug-20,$3.11T,$541.2B
20-Aug-20,$3.17T,$568.7B
27-Aug-20,$3.22T,$609.4B
3-Sep-20,$3.31T,$612.6B
10-Sep-20,$3.20T,$569.4B
15-Sep-20,$3.21T,$578.3B
13-Oct-20,$3.28T,$596.2B
24-Nov-20,$3.34T,$618.0B
7-Dec-20,$3.37T,$637.5B
18-Jan-21,$3.42T,$661.1B
19-Feb-21,$3.56T,$683.0B
12-Apr-21,$3.85T,$713.9B
9-Jul-21,$3.97T,$743.4B
17-Aug-21,$4.03T,$740.3B
15-Oct-21,$4.24T,$779.3B
